TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
6.2846 0.70085 0.35155
2.8228 0.4142 0.43515
5.4966 0.038 0.5402
2.8228 0.5428 0.4595
1.597 0.1417 0.3185
0.856 0.6416 0.8358
11.2227 0.05545 0.057
9.6441 0.5071 0.6425
9.5022 0.03335 0.2253
7.3737 0.46555 0.4793
12.5173 0.23955 0.3534
2.4476 0.58225 0.1663
11.3741 0.3093 0.2333
13.5396 0.31025 0.2996
12.0728 0.8349 0.9319
7.4525 0.069 0.9179
9.8725 0.0886 0.0625
10.5056 0.25875 0.2404
7.7002 0.77825 0.9382
4.4897 0.66115 0.92
1.9393 0.9114 0.0384
9.4227 0.0336 0.9352
6.77 0.28105 0.1635
0.0 0.6246 0.8476
0.0 0.8481 0.9311
9.5768 0.02515 0.0159
8.5026 0.1331 0.854
9.0563 0.505 0.903
12.3915 0.0381 0.5998
4.9146 0.47775 0.7974
12.7091 0.5638 0.24785
7.1201 0.4006 0.4851
12.1237 0.76385 0.7742
10.3275 0.0707 0.74565
8.5579 0.1062 0.4145
7.4119 0.03855 0.7788
0 0.1815 0.0669
0.0 0.3145 0.9415
6.3505 0.3587 0.62735
0.0 0.3034 0.6344
1.1474 0.4094 0.1808
11.191 0.0163 0.612
6.292 0.4206 0.7805
14.8873 0.5408 0.6587
13.9073 0.2844 0.3674
5.8302 0.7506 0.8865
8.8691 0.0209 0.16695
2.0841 0.0624 0.132
5.9672 0.0375 0.678
2.6086 0.14005 0.061
10.9784 0.0345 0.3071
8.1524 0.0338 0.6835
0.0 0.2843 0.437
8.3904 0.082 0.0663
12.1957 0.2498 0.6334
8.2127 0.47075 0.2928
12.1801 0.0197 0.1533
2.3363 0.04555 0.9347
0.4906 0.0791 0.6687
0.4906 0.0317 0.4768
10.4574 0.2092 0.3666
7.7633 0.8162 0.8541
0.4906 0.8948 0.8663
7.9895 0.03445 0.8662
2.9031 0.0272 0.7748
13.4426 0.0487 0.06265
9.3502 0.23985 0.159
6.5 0.03555 0.82475
1.7783 0.0284 0.0517
6.7099 0.039 0.7616
5.4572 0.0235 0.58935
0.0 0.0191 0.70545
11.975 0.10615 0.1275
4.5155 0.06165 0.30095
5.6205 0.6978 0.3628
11.3825 0.041 0.24415
8.0458 0.0456 0.0514
8.701 0.1428 0.1508
4.6142 0.6625 0.241
8.8614 0.534 0.4962
8.2611 0.4781 0.0773
13.0925 0.84505 0.1348
9.4968 0.05665 0.6684
5.6441 0.0258 0.7114
3.9987 0.0225 0.0488
9.3075 0.0317 0.7499
2.9792 0.8984 0.5628
5.8302 0.0168 0.8966
6.1917 0.34985 0.0337
5.7236 0.0615 0.27935
7.8993 0.1936 0.21495
1.3896 0.029 0.712
7.3666 0.04405 0.494
5.5222 0.1312 0.5594
2.0841 0.0493 0.09525
5.3467 0.5312 0.0848
7.0065 0.06205 0.7021
6.0489 0.70145 0.7542
5.7347 0.0384 0.88875
5.7236 0.04065 0.1756
6.0041 0.0429 0.9134
3.309 0.7697 0.8299
3.8033 0.8839 0.8433
0.856 0.7057 0.6815
TCGA-BR-6452 TCGA-BR-6452 TCGA-BR-6452
4.1 0.5466 0.4563
3.1574 0.4848 0.83695
5.7955 0.57545 0.4475
3.2527 0.4531 0.3988
7.3388 0.5069 0.8348
16.1921 0.4081 0.65195
1.3354 0.7172 0.8522
0.0 0.5064 0.5955
8.7214 0.7765 0.8065
4.4205 0.78245 0.7385
0.9367 0.6326 0.59025
0.9367 0.5066 0.5486
3.2527 0.65475 0.80175
2.5546 0.6725 0.31895
8.3123 0.5515 0.5884
3.3421 0.4531 0.9292
6.9799 0.4128 0.5808
0.9367 0.4334 0.49365
7.2051 0.56155 0.63515
9.4026 0.4917 0.61485
14.0899 0.3049 0.66215
1.1498 0.5386 0.6211
3.0553 0.3012 0.653
15.0545 0.3777 0.76895
3.8788 0.55135 0.60015
4.021 0.42075 0.61735
5.9022 0.5438 0.65945
13.5832 0.4509 0.5
8.8565 0.2119 0.448
1.1596 0.5063 0.54175
9.0161 0.43255 0.6414
7.4809 0.48955 0.9057
11.6778 0.5284 0.84485
0.0 0.6177 0.3607
0.9367 0.5424 0.6527
0.6865 0.65325 0.52105
4.7164 0.5531 0.4969
0.3837 0.5579 0.5998
3.544 0.5508 0.5532
5.6099 0.3196 0.79575
2.1215 0.43375 0.6094
3.6175 0.72405 0.7376
0.6865 0.648 0.5552
12.6107 0.44695 0.83365
6.9446 0.6261 0.66855
14.6432 0.8609 0.898
11.5224 0.43825 0.8405
6.5108 0.5362 0.5438
3.7211 0.3574 0.3203
6.4467 0.5549 0.6231
2.8872 0.4492 0.6455
2.1215 0.46575 0.5425
0.0 0.777 0.75935
0.0 0.3944 0.7325
0.0 0.77395 0.8834
6.0621 0.3835 0.6374
7.7536 0.62615 0.4988
9.0497 0.2531 0.6009
0.6865 0.5752 0.6406
1.6475 0.5371 0.4306
10.1803 0.17755 0.3343
4.0742 0.5294 0.5075
4.3789 0.5981 0.7948
9.6944 0.1116 0.3125
5.5826 0.5707 0.46595
2.7632 0.4538 0.7578
14.4331 0.3458 0.4025
4.3576 0.9129 0.7903
10.1412 0.7227 0.2297
8.1251 0.397 0.65805
7.0109 0.6387 0.6318
7.0379 0.5768 0.78535
7.8615 0.60455 0.5024
13.6147 0.4979 0.8407
7.6237 0.4422 0.7529
0.9367 0.8133 0.7198
8.1852 0.34875 0.768
8.7266 0.4013 0.9039
12.758 0.36645 0.3984
0.0 0.7002 0.5048
5.6009 0.47725 0.6312
1.1498 0.4426 0.51315
5.0964 0.6437 0.7949
5.2195 0.57865 0.6118
12.4244 0.3887 0.8158
